,Unnamed: 0,SMILES,CAS,Name,Exposure (ng/day),Min Exposure (ng/day),Max Exposure (ng/day),ACE2,Pred_label
139,155,CCCCCCCCCc1ccccc1O,,Nonylphenol ethoxycarboxylate,0.152,0.0509,0.288,0,0.9452061
140,156,CCCCCCCCCc1ccccc1OCCO,1119449-37-4,Nonylphenol monoethoxylate,0.0605,0.0203,0.115,0,0.98118615
141,157,CCCCCCCCCCCC(=O)OC,111-82-0,Methyl dodecanoate,0.000451,0.000151,0.000857,0,0.9680517
142,158,CCCCCCCCCCCCCC(=O)OC,124-10-7,Methyl myristate,6.69e-05,2.24e-05,0.000127,0,0.9648578
143,159,CCCCCCCCCCCCCC(=O)O,544-63-8,Myristic acid,4.08,1.37,7.75,0,0.9459133
144,160,CCCCCCCCCCCCCCCC(=O)OC,112-39-0,Methyl palmitate,0.0001,3.37e-05,0.00019,0,0.96043277
145,161,CCCCCCCCCCCCCCCC(=O)O,57-10-3,Palmitic acid,22.1,7.41,41.9,0,0.9406344
146,162,CCCCCCCCCCCCCCCCCC(=O)O,57-11-4,Stearic acid,5.43,1.82,10.3,0,0.9383938
147,163,CCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCCCCC,3648-20-2,Diundecyl phthalate,0.0652,0.0219,0.124,0,0.97568685
148,164,CCCCCCCOC(=O)c1ccc(O)cc1,1085-12-7,Heptylparaben,2.71e-05,9.1e-06,5.15e-05,0,0.9570102
149,165,CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC,84-75-3,Dihexyl phthalate,0.00306,0.00103,0.00582,0,0.9610059
150,166,CCCCOP(=O)(OCCCC)OCCCC,126-73-8,Tri-n-butyl phosphate,0.00868,0.00291,0.0165,0,0.47582588
151,167,CCCCOC(=O)c1ccc(O)cc1,94-26-8,Butyl Paraben,0.0019,0.000639,0.00362,0,0.93221414
152,168,CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1,85-68-7,Benzyl butyl phthalate,2.52,0.847,4.79,0,0.87890035
153,169,CCCCOC(=O)c1ccccc1C(=O)OCCCC,84-74-2,Dibutyl phthalate,2.5,0.837,4.74,0,0.95837224
154,170,CCCCOCCOP(=O)(OCCOCCCC)OCCOCCCC,78-51-3,Tri(2-butoxyethyl) phosphate,3.53,1.18,6.7,0,0.6710502
155,171,CCCOP(=O)(OCCC)OCCC,513-08-6,Tripropyl phosphate,1.67e-05,5.61e-06,3.17e-05,0,0.65292317
156,172,CCCOC(=O)c1ccc(O)cc1,94-13-3,Propyl Paraben,0.0126,0.00422,0.0239,0,0.84974736
157,173,CCOP(=O)(OCC)OCC,78-40-0,Triethyl Phosphate,0.00136,0.000457,0.00259,0,0.43383658
158,174,CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,333-41-5,Diazinon,0.00136,0.000456,0.00258,0,0.7467554
159,175,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,2921-88-2,Chlorpyrifos,0.0309,0.0104,0.0587,0,0.8166902
160,176,CCOC(=O)c1ccc(O)cc1,120-47-8,Ethyl Paraben,0.00308,0.00103,0.00584,0,0.9360894
161,177,CCOC(=O)c1ccccc1,70750-03-07,Ethyl benzoate,0.0,0.0,0.0,0,0.94401693
162,178,CCOC(=O)c1ccccc1C(=O)OCC,84-66-2,Diethyl phthalate,0.238,0.0799,0.452,0,0.9685706
